"gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","query","Position.in.contig","Phenotype","Accession.no.","ARO","ARO_name","Cut_Off","confers_resistance_to","confers_resistance_to_names","resistance_to_drug_classes","resistance_to_drug_classes_names","pipeline","id","ARG.class","parent","parent_description","geneclass_argcompare"
"ampH",86,"800/795",99.3710691823899,"1..795","GMGC10.002_517_021.OXA","1..795","Ampicillin, Amoxicillin","HQ586946","ARO:3008727","OXA-950","Strict","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",86,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"blaMOX-6",88.24,"1037/1152",88.8020833333333,"117..1146","GMGC10.002_517_362.AMPC","108..1137","Unknown Beta-lactam","GQ152601","ARO:3002185","MOX-6","Perfect","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",88.24,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"blaTRU",96.87,"1149/1149",100,"1..1149","GMGC10.002_523_414.AMPC","1..1149","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam","EU046614","ARO:3004450","TRU-1","Perfect","ARO:0000032,ARO:3000008,ARO:3000704","cephalosporin,penicillin beta-lactam,cefalotin","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",96.87,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ampS",95.55,"787/795",98.9937106918239,"1..787","GMGC10.002_525_975.OXA","1..787","Unknown Beta-lactam","X80276","ARO:3008720","OXA-725","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",95.55,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"blaMOX-4",84.7,"1072/1149",91.8189730200174,"85..1143","GMGC10.002_528_339.AMPC","199..1266","Unknown Beta-lactam","FJ262599","ARO:3002184","MOX-4","Perfect","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",84.7,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"VanH",87.62,"969/969",100,"1..969","GMGC10.002_546_656.LDHA","13..981","Vancomycin, Teicoplanin","1_Y15705","ARO:3002942","","","","","","","ResFinder",87.62,"Glycopeptide","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"blaZ",87.93,"580/951",60.6729758149316,"113..690","GMGC10.002_666_449.UNKNOWN","85..663","Amoxicillin, Ampicillin, Penicillin, Piperacillin","M15195","ARO:3007101","BcIII","Strict","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ResFinder",87.93,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"blaOXA-274",100,"846/846",100,"1..846","GMGC10.002_743_408.YBXI","1..846","Unknown Beta-lactam","APOS01000038","ARO:3001730","OXA-274","Perfect","ARO:0000020,ARO:0000056,ARO:3000008","carbapenem,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",100,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"blaIMP-1",100,"741/741",100,"1..741","GMGC10.002_797_915.CPHA","1..741","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam","EF027105","ARO:3002192","IMP-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",100,"Beta-lactam","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"blaOXA-287",90.97,"831/837",99.2831541218638,"1..831","GMGC10.002_818_226.YBXI","1..831","Unknown Beta-lactam","NG_050609","ARO:3001742","","","","","","","ResFinder",90.97,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"blaOXA-213",100,"822/822",100,"1..822","GMGC10.002_822_786.YBXI","1..822","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid","JN861781","ARO:3001712","OXA-213","Perfect","ARO:0000020,ARO:0000056,ARO:3000008","carbapenem,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",100,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"cmr",97.32,"1380/1380",100,"1..1380","GMGC10.002_847_492.CMR","1..1380","Erythromycin, Tetracycline","U43535","ARO:3007838","tet(65)","Loose","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",97.32,"Macrolide, Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"tet(M)",98.7,"1920/1920",100,"1..1920","GMGC10.002_897_435.TETP","1..1920","Doxycycline, Tetracycline, Minocycline","AM990992","ARO:3000186","tet(M)","Strict","ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668","tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","ResFinder",98.7,"Tetracycline","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"tmexD2",81.74,"3099/3135",97.8309409888357,"1..3083","GMGC10.003_018_005.MEXD","1..3083","Doxycycline, Tetracycline, Minocycline, Tigecycline","MN175502","ARO:3000801","MexD","Loose","ARO:0000006,ARO:0000014,ARO:0000032,ARO:0000051,ARO:3000008,ARO:3000111,ARO:3000188,ARO:3000385,ARO:3000663","erythromycin,gentamicin C,cephalosporin,tetracycline,penicillin beta-lactam,novobiocin,trimethoprim,chloramphenicol,ofloxacin","ARO:0000000,ARO:0000001,ARO:0000016,ARO:3000007,ARO:3000007,ARO:3000050,ARO:3000103,ARO:3000171,ARO:3000387","macrolide antibiotic,fluoroquinolone antibiotic,aminoglycoside antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,tetracycline antibiotic,aminocoumarin antibiotic,diaminopyrimidine antibiotic,phenicol antibiotic","ResFinder",81.74,"Tetracycline","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"blaADC-25",92.1,"1152/1152",100,"1..1152","GMGC10.003_028_303.AMPH","1..1152","Unknown Beta-lactam","EF016355","ARO:3003868","ADC-25","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ResFinder",92.1,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"aac(6')-aph(2'')",100,"990/1440",68.75,"338..1327","GMGC10.003_034_923.AACA-APHD","11..1000","Gentamicin, Tobramycin, Netilmicin, Kanamycin, Amikacin, Dibekacin, Isepamicin, Fortimicin, Streptomycin","M13771","ARO:3002597","AAC(6')-Ie-APH(2'')-Ia bifunctional protein","Perfect","ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000049,ARO:0000052,ARO:3004015,ARO:3007378,ARO:3007379","dibekacin,amikacin,sisomicin,netilmicin,kanamycin A,tobramycin,gentamicin A,2'-N-ethylnetilmicin,5-episisomicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",100,"Aminoglycoside","ARO:3007419","aminoglycoside bifunctional resistance protein","bifunctional aminoglycoside"
"ole(C)",85.7,"986/978",98.9775051124744,"5..978","GMGC10.003_066_977.SCLAV_1483","47..1026","Oleandomycin","L06249","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ResFinder",85.7,"Macrolide","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"OqxA",83.81,"1112/1176",94.2176870748299,"67..1176","GMGC10.003_121_919.MEXE","67..1176","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003922","oqxA","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",83.81,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"OqxB",87.07,"3102/3153",98.3190612115446,"1..3101","GMGC10.003_121_920.MEXF","1..3101","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003923","oqxB","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",87.07,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"ole(C)",85.13,"948/978",95.7055214723926,"6..947","GMGC10.003_162_014.SCLAV_1483","60..1001","Oleandomycin","L06249","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ResFinder",85.13,"Macrolide","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"tmexD4",80.29,"3110/3135",97.799043062201,"1..3088","GMGC10.003_453_247.MEXD","1..3088","Doxycycline, Tetracycline, Minocycline, Tigecycline","CP091084","ARO:3000801","MexD","Loose","ARO:0000006,ARO:0000014,ARO:0000032,ARO:0000051,ARO:3000008,ARO:3000111,ARO:3000188,ARO:3000385,ARO:3000663","erythromycin,gentamicin C,cephalosporin,tetracycline,penicillin beta-lactam,novobiocin,trimethoprim,chloramphenicol,ofloxacin","ARO:0000000,ARO:0000001,ARO:0000016,ARO:3000007,ARO:3000007,ARO:3000050,ARO:3000103,ARO:3000171,ARO:3000387","macrolide antibiotic,fluoroquinolone antibiotic,aminoglycoside antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,tetracycline antibiotic,aminocoumarin antibiotic,diaminopyrimidine antibiotic,phenicol antibiotic","ResFinder",80.29,"Tetracycline","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"tmexD2",82.3432343234323,"1212/3135",38.0223285486443,"1..1202","GMGC10.003_523_352.UNKNOWN","737..1938","Doxycycline, Tetracycline, Minocycline, Tigecycline","MN175502","ARO:3000801","MexD","Loose","ARO:0000006,ARO:0000014,ARO:0000032,ARO:0000051,ARO:3000008,ARO:3000111,ARO:3000188,ARO:3000385,ARO:3000663","erythromycin,gentamicin C,cephalosporin,tetracycline,penicillin beta-lactam,novobiocin,trimethoprim,chloramphenicol,ofloxacin","ARO:0000000,ARO:0000001,ARO:0000016,ARO:3000007,ARO:3000007,ARO:3000050,ARO:3000103,ARO:3000171,ARO:3000387","macrolide antibiotic,fluoroquinolone antibiotic,aminoglycoside antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,tetracycline antibiotic,aminocoumarin antibiotic,diaminopyrimidine antibiotic,phenicol antibiotic","ResFinder",82.3432343234323,"Tetracycline","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"blaACT-4",94.07,"1147/1146",99.912739965096,"1..1146","GMGC10.003_686_009.AMPC","1..1146","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","AJ311172","ARO:3001829","ACT-4","Strict","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",94.07,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"OqxB",89.87,"3101/3153",98.3507770377418,"1..3101","GMGC10.003_686_042.MEXF","1..3101","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003923","oqxB","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",89.87,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"OqxB",88.65,"3120/3153",98.95337773549,"1..3120","GMGC10.003_896_929.MEXF","1..3120","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003923","oqxB","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",88.65,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"blaACT-6",87.78,"1146/1146",100,"1..1146","GMGC10.003_897_821.AMPC","1..1146","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","FJ237366","ARO:3001825","ACT-6","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",87.78,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"blaACT-10",98.17,"1146/1146",100,"1..1146","GMGC10.003_900_468.AMPC","1..1146","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","JN848330","ARO:3001832","ACT-10","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",98.17,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"tet(M)",97.34,"1920/1920",100,"1..1920","GMGC10.004_116_919.TETP","1..1920","Doxycycline, Tetracycline, Minocycline","X90939","ARO:3000186","tet(M)","Strict","ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668","tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","ResFinder",97.34,"Tetracycline","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"blaTEM-116",100,"518/861",60.1626016260163,"293..810","GMGC10.004_139_048.UNKNOWN","224..741","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY425988","ARO:3000979","TEM-116","Perfect","ARO:0000004,ARO:0000032,ARO:0000060,ARO:3000008,ARO:3000637","monobactam,cephalosporin,ceftazidime,penicillin beta-lactam,ampicillin","ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",100,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"aph(2'')-Ib",100,"900/900",100,"1..900","GMGC10.004_192_507.AACA-APHD","1..900","Amikacin, Gentamicin, Tobramycin, Kanamycin","AF207840","ARO:3002635","APH(2'')-IIa","Strict","ARO:3003675","plazomicin","ARO:0000016","aminoglycoside antibiotic","ResFinder",100,"Aminoglycoside","ARO:3000128","APH(2'')","aph"
"tetB(46)",100,"1737/1737",100,"1..1737","GMGC10.004_217_650.YHEH","1..1737","Doxycycline, Tetracycline, Tigecycline","HQ652506","ARO:3004033","tetB(46)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",100,"Tetracycline","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"tetB(46)",86.62,"1742/1737",99.7121473805412,"1..1737","GMGC10.004_221_964.MDLB","1..1737","Doxycycline, Tetracycline, Tigecycline","HQ652506","ARO:3004033","tetB(46)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",86.62,"Tetracycline","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"blaZ",86.28,"853/852",99.8826291079812,"1..852","GMGC10.004_251_533.BLA","1..852","Amoxicillin, Ampicillin, Penicillin, Piperacillin","HE993884","ARO:3005097","mecC-type BlaZ","Strict","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","ResFinder",86.28,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"aac(3)-XI",100,"447/447",100,"1..447","GMGC10.004_302_795.TNPCX","574..1020","Unknown Aminoglycoside","CTEG01000046","ARO:3007204","AAC(6')-Iap","Loose","ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379","dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",100,"Aminoglycoside","ARO:3000345","AAC(6')","aac"
"cmlB1",99.84,"1266/1266",100,"1..1266","GMGC10.004_317_300.SFLR","1..1266","Chloramphenicol","AM296481","ARO:3002699","cmlB1","Strict","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ResFinder",99.84,"Amphenicol","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ole(C)",88.52,"984/978",100,"1..978","GMGC10.004_342_076.SCLAV_1483","43..1026","Oleandomycin","L06249","ARO:3003748","oleC","Strict","ARO:3000867","oleandomycin","ARO:0000000","macrolide antibiotic","ResFinder",88.52,"Macrolide","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"blaOXA-184",99.87,"747/747",100,"1..747","GMGC10.004_432_995.UNKNOWN","166..912","Unknown Beta-lactam","JQ396378","ARO:3001476","OXA-184","Strict","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",99.87,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"cat(pC233)",100,"648/648",100,"1..648","GMGC10.004_446_809.UNKNOWN","1..648","Chloramphenicol","AY355285","ARO:3004456","Enterococcus faecium chloramphenicol acetyltransferase","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ResFinder",100,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"erm(37)",100,"374/540",69.2592592592593,"167..540","GMGC10.004_448_330.DIMT1","152..525","Erythromycin, Telithromycin, Lincomycin, Clindamycin","AL123456","ARO:3000392","Erm(37)","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ResFinder",100,"Macrolide, Lincosamide, Streptogramin B","ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
